record_id,Product_Rating,Service_Rating,Sales_Rep_Rating
S00001,1,3,4
S00002,1,1,1
S00003,5,4,4
S00004,3,3,1
S00005,4,4,5
S00006,1,5,5
S00007,1,5,5
S00008,1,2,2
S00009,5,1,5
S00010,4,3,4
S00011,3,2,1
S00012,3,4,5
S00013,2,4,4
S00014,4,2,2
S00015,,2,1
S00016,4,2,4
S00017,5,2,4
S00018,3,1,1
S00019,5,3,2
S00020,2,1,1
S00021,3,4,3
S00022,2,5,4
S00023,1,2,3
S00024,2,4,2
S00025,3,3,2
S00026,1,4,3
S00027,2,1,3
S00028,4,2,1
S00029,4,5,2
S00030,5,5,2
S00031,3,4,
S00032,1,2,5
S00033,1,3,2
S00034,5,3,2
S00035,2,4,2
S00036,1,2,2
S00037,1,2,4
S00038,3,3,2
S00039,3,2,1
S00040,4,2,1
S00041,2,4,3
S00042,1,5,2
S00043,5,5,5
S00044,5,3,2
S00045,3,2,2
S00046,4,3,2
S00047,4,2,5
S00048,4,4,5
S00049,5,,1
S00050,1,1,4
S00051,4,4,1
S00052,4,1,5
S00053,2,2,3
S00054,3,2,2
S00055,1,4,1
S00056,3,5,1
S00057,3,3,2
S00058,2,2,2
S00059,2,1,4
S00060,3,1,5
S00061,5,5,3
S00062,1,3,5
S00063,3,1,1
S00064,5,5,5
S00065,5,2,2
S00066,3,2,2
S00067,3,5,2
S00068,5,1,2
S00069,2,3,5
S00070,2,2,2
S00071,5,4,5
S00072,2,5,4
S00073,5,1,2
S00074,3,4,5
S00075,1,5,1
S00076,3,2,3
S00077,4,2,2
S00078,1,3,5
S00079,5,3,2
S00080,4,5,1
S00081,5,1,2
S00082,2,3,1
S00083,1,1,2
S00084,5,2,1
S00085,5,4,5
S00086,5,4,3
S00087,4,3,2
S00088,4,4,4
S00089,3,5,4
S00090,1,3,1
S00091,5,5,4
S00092,3,1,2
S00093,3,1,3
S00094,4,5,3
S00095,2,5,5
S00096,4,2,1
S00097,1,1,2
S00098,1,3,2
S00099,1,4,1
S00100,4,4,3
S00101,3,3,2
S00102,4,3,2
S00103,2,3,4
S00104,3,2,5
S00105,5,3,3
S00106,4,4,2
S00107,2,5,5
S00108,3,5,4
S00109,3,2,3
S00110,3,1,5
S00111,1,1,4
S00112,1,3,2
S00113,3,5,3
S00114,5,2,5
S00115,4,3,1
S00116,1,3,2
S00117,1,,4
S00118,4,1,1
S00119,3,3,5
S00120,1,2,1
S00121,3,5,4
S00122,5,1,4
S00123,2,3,4
S00124,4,1,4
S00125,2,4,3
S00126,3,1,1
S00127,3,5,2
S00128,5,5,5
S00129,3,4,3
S00130,3,2,5
S00131,2,4,5
S00132,5,1,1
S00133,5,1,3
S00134,5,4,4
S00135,3,1,3
S00136,2,2,5
S00137,5,2,3
S00138,4,1,5
S00139,2,1,2
S00140,5,2,3
S00141,2,5,5
S00142,2,1,4
S00143,1,4,4
S00144,3,3,1
S00145,5,2,1
S00146,2,5,4
S00147,1,5,3
S00148,1,2,1
S00149,3,4,3
S00150,1,1,3
S00151,4,3,2
S00152,5,2,5
S00153,3,2,4
S00154,3,3,5
S00155,,5,4
S00156,4,2,2
S00157,2,1,1
S00158,5,3,5
S00159,4,4,4
S00160,2,3,5
S00161,1,2,3
S00162,3,1,4
S00163,2,4,5
S00164,4,4,3
S00165,5,1,5
S00166,4,5,5
S00167,4,3,5
S00168,3,4,2
S00169,2,1,1
S00170,3,1,5
S00171,3,1,1
S00172,1,4,5
S00173,2,3,3
S00174,5,5,1
S00175,3,3,3
S00176,1,5,1
S00177,2,4,3
S00178,2,5,1
S00179,1,4,5
S00180,1,4,4
S00181,5,1,1
S00182,1,3,5
S00183,2,1,5
S00184,1,1,1
S00185,5,1,4
S00186,5,4,1
S00187,5,5,2
S00188,5,1,3
S00189,4,4,1
S00190,5,5,4
S00191,2,1,2
S00192,2,5,2
S00193,4,1,1
S00194,1,4,2
S00195,1,3,2
S00196,3,1,3
S00197,5,4,4
S00198,1,3,1
S00199,1,3,3
S00200,1,2,3
S00201,2,4,4
S00202,2,3,5
S00203,2,5,2
S00204,3,1,1
S00205,1,5,4
S00206,5,2,5
S00207,3,4,4
S00208,3,4,2
S00209,5,5,5
S00210,2,2,4
S00211,3,4,2
S00212,5,2,4
S00213,2,2,4
S00214,3,1,5
S00215,2,3,1
S00216,2,2,4
S00217,1,2,5
S00218,2,2,5
S00219,1,1,4
S00220,2,1,3
S00221,2,2,2
S00222,3,1,5
S00223,1,4,1
S00224,2,3,3
S00225,5,2,5
S00226,2,3,1
S00227,2,4,2
S00228,1,2,2
S00229,3,4,2
S00230,2,3,5
S00231,5,4,3
S00232,3,3,5
S00233,1,2,5
S00234,5,5,3
S00235,1,3,4
S00236,4,1,3
S00237,5,2,3
S00238,2,3,3
S00239,5,1,4
S00240,1,1,2
S00241,5,3,5
S00242,5,2,1
S00243,3,3,1
S00244,4,2,1
S00245,1,2,5
S00246,3,2,1
S00247,1,2,1
S00248,5,3,2
S00249,5,5,3
S00250,5,4,3
S00251,5,2,1
S00252,3,5,2
S00253,4,3,2
S00254,4,1,2
S00255,2,2,3
S00256,1,2,2
S00257,5,3,2
S00258,5,2,5
S00259,3,2,1
S00260,1,4,3
S00261,2,3,3
S00262,3,1,5
S00263,3,1,4
S00264,2,3,2
S00265,2,1,5
S00266,1,5,3
S00267,2,2,3
S00268,2,2,3
S00269,1,4,2
S00270,3,4,3
S00271,3,5,3
S00272,5,5,5
S00273,2,3,4
S00274,3,5,2
S00275,1,3,1
S00276,5,4,4
S00277,3,3,5
S00278,1,3,2
S00279,5,4,1
S00280,1,2,3
S00281,3,2,4
S00282,1,5,4
S00283,3,3,1
S00284,3,2,3
S00285,5,2,1
S00286,4,4,2
S00287,1,5,4
S00288,2,3,4
S00289,4,5,1
S00290,5,2,5
S00291,5,1,5
S00292,1,5,2
S00293,3,4,2
S00294,3,2,1
S00295,5,1,2
S00296,5,3,4
S00297,5,3,4
S00298,1,4,4
S00299,4,1,3
S00300,2,1,4
S00301,5,3,1
S00302,5,1,4
S00303,4,3,3
S00304,5,5,1
S00305,3,4,1
S00306,3,1,3
S00307,1,5,4
S00308,5,2,3
S00309,5,3,1
S00310,4,5,5
S00311,2,4,1
S00312,2,1,5
S00313,5,4,5
S00314,2,1,3
S00315,1,5,3
S00316,3,3,3
S00317,4,2,5
S00318,5,1,3
S00319,5,5,1
S00320,2,4,3
S00321,2,2,2
S00322,3,5,5
S00323,5,4,2
S00324,4,5,3
S00325,3,4,1
S00326,2,1,2
S00327,5,1,2
S00328,2,5,3
S00329,2,2,3
S00330,1,3,3
S00331,3,1,2
S00332,4,3,4
S00333,5,3,5
S00334,3,4,3
S00335,1,4,3
S00336,5,1,4
S00337,4,4,2
S00338,3,2,5
S00339,2,5,3
S00340,1,2,1
S00341,5,4,2
S00342,2,2,1
S00343,1,5,2
S00344,4,1,5
S00345,4,3,1
S00346,4,3,5
S00347,4,5,4
S00348,5,5,1
S00349,3,5,4
S00350,2,2,1
S00351,5,3,5
S00352,1,2,1
S00353,4,4,4
S00354,5,5,4
S00355,1,4,1
S00356,1,5,1
S00357,4,2,3
S00358,3,1,3
S00359,4,1,5
S00360,1,2,2
S00361,4,4,2
S00362,5,5,2
S00363,4,5,4
S00364,3,3,4
S00365,4,1,3
S00366,5,1,1
S00367,5,4,1
S00368,5,3,5
S00369,1,4,5
S00370,5,2,2
S00371,3,4,3
S00372,2,1,3
S00373,5,1,4
S00374,3,3,1
S00375,3,4,3
S00376,1,2,5
S00377,5,1,4
S00378,4,4,1
S00379,3,3,5
S00380,1,2,3
S00381,4,4,1
S00382,2,5,3
S00383,2,5,4
S00384,2,3,5
S00385,1,4,4
S00386,4,2,1
S00387,5,5,2
S00388,1,5,2
S00389,2,1,3
S00390,4,4,3
S00391,4,2,3
S00392,4,2,1
S00393,5,4,5
S00394,5,3,3
S00395,3,1,2
S00396,4,2,4
S00397,1,1,3
S00398,2,5,3
S00399,2,1,5
S00400,5,4,4
S00401,3,3,5
S00402,1,1,1
S00403,4,3,4
S00404,5,1,3
S00405,1,1,4
S00406,2,4,1
S00407,1,2,5
S00408,4,3,3
S00409,5,2,2
S00410,5,2,2
S00411,1,1,4
S00412,5,4,1
S00413,4,2,3
S00414,3,3,1
S00415,2,1,4
S00416,5,4,5
S00417,2,2,4
S00418,3,2,3
S00419,5,2,2
S00420,3,4,5
S00421,3,5,4
S00422,4,3,3
S00423,4,2,4
S00424,1,3,2
S00425,1,3,2
S00426,4,3,2
S00427,5,3,1
S00428,3,3,3
S00429,5,3,2
S00430,2,3,4
S00431,4,3,5
S00432,4,4,1
S00433,2,5,2
S00434,4,5,3
S00435,3,3,4
S00436,4,3,4
S00437,3,1,2
S00438,1,2,2
S00439,1,4,5
S00440,4,5,4
S00441,5,5,5
S00442,5,2,1
S00443,5,3,2
S00444,3,3,1
S00445,4,3,3
S00446,3,2,3
S00447,1,3,2
S00448,5,2,2
S00449,1,5,1
S00450,4,3,5
S00451,1,4,1
S00452,2,3,4
S00453,1,5,4
S00454,1,4,3
S00455,3,3,4
S00456,1,4,2
S00457,1,4,2
S00458,2,5,5
S00459,3,1,4
S00460,2,1,3
S00461,4,2,1
S00462,3,1,3
S00463,5,4,5
S00464,4,4,5
S00465,1,1,1
S00466,1,2,1
S00467,3,2,3
S00468,4,2,5
S00469,2,4,4
S00470,2,1,4
S00471,1,1,5
S00472,1,3,4
S00473,1,3,4
S00474,1,5,4
S00475,3,1,5
S00476,4,1,4
S00477,5,3,1
S00478,5,2,3
S00479,4,3,1
S00480,3,4,2
S00481,5,1,4
S00482,2,2,1
S00483,2,1,2
S00484,2,1,2
S00485,3,5,1
S00486,5,3,1
S00487,4,5,3
S00488,3,2,1
S00489,4,5,5
S00490,5,3,1
S00491,1,1,5
S00492,1,1,3
S00493,3,5,4
S00494,5,4,5
S00495,3,2,2
S00496,5,4,5
S00497,1,3,1
S00498,1,3,2
S00499,3,3,5
S00500,2,1,2
S00501,3,1,2
S00502,4,1,3
S00503,5,5,3
S00504,5,5,5
S00505,2,5,3
S00506,4,1,4
S00507,1,5,1
S00508,1,2,1
S00509,5,2,5
S00510,5,5,1
S00511,4,4,2
S00512,2,1,1
S00513,2,2,4
S00514,1,2,1
S00515,4,2,4
S00516,1,5,1
S00517,2,3,3
S00518,2,4,3
S00519,1,1,1
S00520,5,4,3
S00521,5,2,5
S00522,4,4,5
S00523,2,2,3
S00524,4,3,1
S00525,4,1,1
S00526,2,4,2
S00527,1,4,3
S00528,1,2,3
S00529,3,4,2
S00530,5,5,1
S00531,4,1,5
S00532,3,2,4
S00533,3,5,2
S00534,3,4,4
S00535,3,2,5
S00536,2,4,4
S00537,3,1,3
S00538,5,3,1
S00539,2,3,1
S00540,4,5,5
S00541,5,2,1
S00542,5,5,1
S00543,4,3,5
S00544,4,1,3
S00545,3,5,1
S00546,5,2,1
S00547,2,1,2
S00548,1,2,2
S00549,4,5,3
S00550,1,2,4
S00551,3,1,1
S00552,3,5,2
S00553,4,5,2
S00554,1,2,1
S00555,5,4,4
S00556,2,1,5
S00557,1,2,1
S00558,3,5,5
S00559,5,4,5
S00560,2,4,5
S00561,4,1,2
S00562,2,2,3
S00563,2,5,4
S00564,1,5,5
S00565,4,4,3
S00566,5,3,4
S00567,5,5,4
S00568,4,5,4
S00569,5,2,1
S00570,4,5,3
S00571,4,3,3
S00572,5,2,4
S00573,3,3,4
S00574,2,2,2
S00575,4,1,4
S00576,1,1,3
S00577,4,1,4
S00578,5,4,5
S00579,5,3,4
S00580,5,5,3
S00581,5,2,5
S00582,5,3,2
S00583,4,1,3
S00584,1,1,5
S00585,3,4,5
S00586,2,4,3
S00587,5,2,3
S00588,5,3,5
S00589,4,1,1
S00590,3,4,5
S00591,3,2,2
S00592,4,2,2
S00593,4,5,4
S00594,2,4,3
S00595,5,5,5
S00596,3,3,3
S00597,3,2,1
S00598,1,3,1
S00599,2,5,3
S00600,4,2,3
S00601,4,3,4
S00602,5,5,3
S00603,1,4,3
S00604,2,1,3
S00605,2,3,3
S00606,2,3,1
S00607,3,1,4
S00608,2,2,2
S00609,5,3,2
S00610,4,4,3
S00611,1,4,1
S00612,1,5,2
S00613,3,2,3
S00614,1,5,4
S00615,2,4,5
S00616,4,2,1
S00617,3,4,5
S00618,2,4,1
S00619,5,5,5
S00620,2,2,4
S00621,3,4,5
S00622,1,1,5
S00623,2,2,3
S00624,1,3,5
S00625,2,5,1
S00626,4,2,1
S00627,4,4,4
S00628,2,5,5
S00629,5,3,2
S00630,4,2,2
S00631,5,5,5
S00632,2,5,1
S00633,5,4,4
S00634,1,5,5
S00635,1,1,2
S00636,1,2,1
S00637,2,5,1
S00638,4,5,4
S00639,2,1,3
S00640,3,3,3
S00641,1,3,2
S00642,5,2,2
S00643,1,1,5
S00644,3,3,2
S00645,4,1,5
S00646,4,3,2
S00647,3,1,3
S00648,4,3,1
S00649,4,5,3
S00650,2,5,1
S00651,2,3,5
S00652,3,4,3
S00653,2,2,5
S00654,3,1,1
S00655,3,2,4
S00656,4,2,2
S00657,2,2,2
S00658,3,5,3
S00659,3,5,1
S00660,2,4,2
S00661,2,2,4
S00662,1,2,4
S00663,1,4,2
S00664,2,1,3
S00665,5,1,1
S00666,5,5,4
S00667,4,5,2
S00668,4,5,5
S00669,5,5,3
S00670,3,3,3
S00671,1,4,2
S00672,5,3,2
S00673,1,2,2
S00674,4,4,4
S00675,1,5,1
S00676,4,5,4
S00677,1,3,3
S00678,1,5,4
S00679,4,5,5
S00680,5,2,1
S00681,3,2,5
S00682,5,2,5
S00683,1,4,5
S00684,2,5,5
S00685,3,5,3
S00686,2,2,3
S00687,1,3,4
S00688,3,4,3
S00689,4,2,1
S00690,3,5,2
S00691,3,2,5
S00692,1,5,4
S00693,1,4,3
S00694,1,5,3
S00695,3,4,1
S00696,3,5,4
S00697,3,1,5
S00698,2,5,1
S00699,3,2,2
S00700,4,1,2
S00701,3,3,4
S00702,5,5,4
S00703,2,4,4
S00704,4,3,4
S00705,1,5,1
S00706,3,5,4
S00707,1,3,1
S00708,4,4,1
S00709,4,4,4
S00710,3,1,2
S00711,2,2,2
S00712,5,5,3
S00713,2,4,2
S00714,4,5,4
S00715,5,2,5
S00716,4,2,5
S00717,2,3,5
S00718,3,2,2
S00719,2,4,2
S00720,2,5,5
S00721,5,4,2
S00722,3,1,4
S00723,3,1,2
S00724,1,5,2
S00725,5,3,1
S00726,4,2,3
S00727,3,5,2
S00728,5,3,4
S00729,3,1,3
S00730,1,4,1
S00731,4,5,5
S00732,1,3,1
S00733,2,1,3
S00734,5,5,5
S00735,1,3,2
S00736,1,5,2
S00737,3,1,2
S00738,2,4,3
S00739,5,1,1
S00740,3,4,4
S00741,4,3,5
S00742,5,4,4
S00743,5,5,1
S00744,3,2,2
S00745,3,5,2
S00746,2,4,3
S00747,2,1,3
S00748,5,4,2
S00749,4,1,3
S00750,3,5,1
S00751,1,1,2
S00752,5,5,4
S00753,5,3,4
S00754,2,5,1
S00755,5,4,1
S00756,5,4,3
S00757,5,5,4
S00758,5,3,3
S00759,5,1,3
S00760,5,3,2
S00761,2,5,3
S00762,2,4,2
S00763,2,3,5
S00764,3,5,2
S00765,4,5,3
S00766,4,2,5
S00767,1,1,3
S00768,3,3,1
S00769,3,3,3
S00770,4,1,5
S00771,5,3,2
S00772,1,4,3
S00773,2,1,1
S00774,5,1,3
S00775,5,2,5
S00776,1,2,1
S00777,1,3,4
S00778,5,4,1
S00779,3,2,4
S00780,2,1,3
S00781,4,5,4
S00782,5,3,4
S00783,5,5,4
S00784,4,2,5
S00785,5,2,3
S00786,2,4,2
S00787,4,2,1
S00788,4,5,2
S00789,1,4,3
S00790,1,4,2
S00791,2,1,3
S00792,1,2,2
S00793,5,4,5
S00794,2,3,1
S00795,1,1,2
S00796,2,1,4
S00797,5,3,5
S00798,4,4,1
S00799,1,5,2
S00800,1,2,1
S00801,3,4,3
S00802,3,3,2
S00803,5,5,1
S00804,2,5,1
S00805,3,4,4
S00806,4,4,1
S00807,4,5,2
S00808,3,2,1
S00809,2,1,2
S00810,1,4,2
S00811,1,1,1
S00812,3,1,3
S00813,5,1,3
S00814,2,2,2
S00815,5,2,2
S00816,3,4,5
S00817,1,4,5
S00818,1,3,2
S00819,1,3,2
S00820,1,5,1
S00821,4,2,4
S00822,1,3,4
S00823,1,5,5
S00824,5,5,1
S00825,4,5,3
S00826,5,2,2
S00827,3,5,1
S00828,3,2,2
S00829,2,5,1
S00830,4,5,1
S00831,2,1,3
S00832,5,4,1
S00833,3,4,2
S00834,4,4,5
S00835,1,4,2
S00836,2,2,4
S00837,3,5,3
S00838,3,5,3
S00839,4,5,5
S00840,5,1,3
S00841,4,1,5
S00842,3,4,1
S00843,1,2,5
S00844,3,1,5
S00845,2,4,4
S00846,5,3,3
S00847,2,3,4
S00848,5,4,5
S00849,2,2,3
S00850,3,1,3
S00851,2,5,3
S00852,2,2,3
S00853,1,2,4
S00854,2,1,2
S00855,5,4,5
S00856,4,4,3
S00857,5,2,1
S00858,3,4,5
S00859,3,3,1
S00860,1,1,5
S00861,2,1,2
S00862,4,2,5
S00863,3,1,1
S00864,1,1,5
S00865,1,4,3
S00866,3,3,5
S00867,5,4,4
S00868,5,5,1
S00869,5,1,3
S00870,4,5,2
S00871,4,5,5
S00872,3,4,1
S00873,4,5,2
S00874,4,5,4
S00875,5,5,3
S00876,1,4,5
S00877,5,1,5
S00878,2,3,5
S00879,5,3,1
S00880,4,1,2
S00881,1,1,3
S00882,2,2,3
S00883,1,5,5
S00884,1,4,2
S00885,2,2,2
S00886,5,3,3
S00887,4,3,5
S00888,4,3,4
S00889,1,4,2
S00890,2,2,1
S00891,2,1,1
S00892,3,1,1
S00893,3,4,2
S00894,2,1,4
S00895,3,3,2
S00896,1,3,4
S00897,3,1,1
S00898,1,5,3
S00899,4,2,5
S00900,1,4,4
S00901,2,2,5
S00902,5,1,3
S00903,1,4,2
S00904,2,4,2
S00905,4,1,2
S00906,3,4,5
S00907,2,4,3
S00908,3,4,5
S00909,1,3,4
S00910,5,3,4
S00911,2,3,5
S00912,1,3,2
S00913,1,2,3
S00914,2,2,5
S00915,5,4,5
S00916,4,2,2
S00917,4,4,5
S00918,4,3,2
S00919,2,5,4
S00920,3,3,4
S00921,5,4,4
S00922,1,1,5
S00923,1,2,3
S00924,2,4,4
S00925,1,5,2
S00926,5,3,4
S00927,4,3,5
S00928,3,2,4
S00929,1,2,3
S00930,2,2,2
S00931,5,2,3
S00932,3,3,5
S00933,3,4,3
S00934,1,1,3
S00935,2,1,2
S00936,5,5,5
S00937,1,3,2
S00938,3,1,1
S00939,5,1,3
S00940,1,5,4
S00941,5,5,2
S00942,2,1,4
S00943,2,5,5
S00944,3,5,3
S00945,1,4,4
S00946,1,1,3
S00947,1,2,1
S00948,3,4,5
S00949,4,5,5
S00950,1,3,4
S00951,3,3,2
S00952,3,4,3
S00953,2,1,4
S00954,1,2,5
S00955,3,4,1
S00956,4,5,1
S00957,5,2,5
S00958,1,4,1
S00959,3,4,5
S00960,5,1,5
S00961,3,3,3
S00962,4,3,3
S00963,3,4,2
S00964,4,1,5
S00965,2,5,1
S00966,5,2,4
S00967,2,1,3
S00968,1,1,3
S00969,4,5,2
S00970,4,1,3
S00971,1,1,2
S00972,1,5,5
S00973,4,4,5
S00974,5,1,1
S00975,1,5,3
S00976,4,4,2
S00977,2,4,3
S00978,3,1,5
S00979,5,4,3
S00980,5,2,2
S00981,4,4,2
S00982,3,1,5
S00983,3,1,5
S00984,1,4,5
S00985,1,4,3
S00986,5,5,4
S00987,4,2,3
S00988,3,5,2
S00989,5,1,5
S00990,4,5,2
S00991,2,2,4
S00992,3,3,5
S00993,2,5,5
S00994,3,5,2
S00995,5,5,1
S00996,3,2,5
S00997,5,2,3
S00998,5,1,3
S00999,5,1,5
S01000,3,2,1
S01001,4,4,5
S01002,1,2,1
S01003,2,5,3
S01004,2,3,4
S01005,1,2,4
S01006,4,3,3
S01007,3,2,2
S01008,4,2,1
S01009,1,3,4
S01010,4,1,3